Repo,PR Name,Author,Date,PR URL
openchair_widget,update | liine | add loc to kristo endpoint,qooqu,2024-09-11,https://github.com/roostergrin/openchair_widget/pull/313
rooster-reminders-back-end,feat | call log | search pt name first for OD Ortho,qooqu,2024-09-11,https://github.com/roostergrin/rooster-reminders-back-end/pull/2752
rooster-reminders-back-end,WIP update | dolphin sync | E2E testing,BryantFukushima,2024-09-11,https://github.com/roostergrin/rooster-reminders-back-end/pull/2751
openchair_widget,deploy update | liine | add loc to kristo endpoint,qooqu,2024-09-11,https://github.com/roostergrin/openchair_widget/pull/314
rooster-reminders-back-end,update | database.yml | arm64 bug,qooqu,2024-09-09,https://github.com/roostergrin/rooster-reminders-back-end/pull/2750
rooster_reminders_front_end,enh | Settings/index.js |adds missed call text for CB ortho,Gordoburrito,2024-09-09,https://github.com/roostergrin/rooster_reminders_front_end/pull/842
rooster_reminders_front_end,enh | Settings/index.js |adds missed call text for CB ortho #842,Gordoburrito,2024-09-09,https://github.com/roostergrin/rooster_reminders_front_end/pull/843
rooster-reminders-back-end,fix | lead model | tracking history and default lead source logic,Gordoburrito,2024-09-05,https://github.com/roostergrin/rooster-reminders-back-end/pull/2747
rooster-reminders-back-end,fix | lead model | phone number formatting,Gordoburrito,2024-09-05,https://github.com/roostergrin/rooster-reminders-back-end/pull/2746
rooster-reminders-back-end,enh | website_leads_controller_spec | clean up tracking history,Gordoburrito,2024-09-05,https://github.com/roostergrin/rooster-reminders-back-end/pull/2749
rooster-reminders-back-end,fix | lead.rb | always update tracking_history,Gordoburrito,2024-09-05,https://github.com/roostergrin/rooster-reminders-back-end/pull/2748
openchair_widget,deploy update | liine | add endpoints,qooqu,2024-09-04,https://github.com/roostergrin/openchair_widget/pull/312
openchair_widget,update | liine | add endpoints,qooqu,2024-09-04,https://github.com/roostergrin/openchair_widget/pull/311
rooster-reminders-back-end,fix | dolphin create patient/rp | handles all errors when creating rp,BryantFukushima,2024-09-03,https://github.com/roostergrin/rooster-reminders-back-end/pull/2744
